statement,occurences,proposed label
 tachykardes vorhofflimmern lagetyp normal periphere niederspannung t abnorm in anterioren ableitungen inferioren ableitungen xxxx unbestätigter bericht ,1,
 sinustachykardie lagetyp normal mässige amplitudenkriterien für linkshypertrophie qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen st abnorm möglicherweise hochlateraler innenschichtsschaden inferiorer innenschichtsschaden xxxx ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus p - sinistrocardiale ueberdrehter linkstyp linksschenkelblock xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anteroseptaler myokardschaden inferiorer myokardschaden xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie linkstyp t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie linkstyp periphere niederspannung qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp mässige amplitudenkriterien für linkshypertrophie unspezifisches abnormes t xxxx unbestätigter bericht ,4,
 ventrikuläre extrasystole ( n ) trigeminus sinusrhythmus lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal linksschenkelblock linkshypertrophie möglich ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal periphere niederspannung qrs ( t ) abnormal anteroseptaler infarkt alter unbest st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie ode ,1,
 sinusrhythmus linkstyp mässige amplitudenkriterien für linkshypertrophie qrs ( t ) abnorm anteriorer infarkt alter unbest inferiorer infarkt alter unbest t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusbradykardie ueberdrehter linkstyp schenkelblock links ant fascicular block intraventr leitungsstoerung avf v1 t - veraenderungen hoch v2 v3 ecg pathologisch ,1,
 supraventrikuläre extrasystole ( n ) sinustachykardie linkstyp qrs ( t ) abnorm inferiorer infarkt mögl akut st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i verdacht auf p - sinistrocardiale linkstyp qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinustachykardie linkstyp qrs ( t ) abnormal lateraler myokardschaden nicht auszuschliessen ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinus arrhythmie lagetyp normal unspezifisches abnormales t ,2,
 ventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnormal inferiorer infarkt möglich ,1,
 sinusrhythmus av block i lagetyp normal t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp schenkelblock partiell links infarkt inferior chronisch moeglich signifikantes q iii avr avf ecg pathologisch ,1,
 sinusrhythmus av block i linkstyp infarkt posterior akut moeglich st - hebung avl v1 st - senkung v3 - v6 i avl t - veraenderungen neg v3 - v6 i avl ecg pathologisch ,1,
 sinusrhythmus linkstyp st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,4,
 ventrikuläre extrasystole ( n ) ventrikulaere extrasystolen multiform > xxxx - min av block i linkstyp sinusrhythmus intraventr leitungsstoerung i ii iii avf avl avr st - senkung v4 - v6 t - veraenderungen neg i avl ecg pathologisch ,1,
 sinusrhythmus p - verbreiterung linkstyp xxxx unbestätigter bericht edit norm xxxx ( norm xxxx ) ,1,
 sinusrhythmus av block i linkstyp unspezifisches abnormes t xxxx unbestätigter bericht ,3,
 sinusrhythmus linkstyp t abnormal in lateralen ableitungen ,1,
 sinustachykardie lagetyp normal unspezifische abnormale st - senkung ,1,
 sinusrhythmus p - sinistrocardiale linkstyp linkshypertrophie qrs ( t ) abnorm anteroseptaler infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp st abnorm möglicherweise anteriorer innenschichtsschaden xxxx unbestätigter bericht ,1,
 sinusrhythmus rechtstyp linksposteriorer fascicular block rechtsschenkelblock bifaszikulärer block ,1,
 trace only requested edit norm xxxx tor v3 xxxx baselinewandern alter unbekannt ( xxxx ) ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm inferiorer infarkt alter unbest t abnorm in anteroseptalen ableitungen xxxx unbestätigter bericht ,1,
 sinusbradykardie linkstyp periphere niederspannung qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unspezifisch abnormales st and t ( hebung ) sonst normales ecg ,3,
 sinusrhythmus linkstyp intraventr leitungsstoerung lange r - progression st - hebung iii v1 - v3 st - senkung i avl t - veraenderungen flach v1 ecg pathologisch ,1,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern lagetyp normal qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,2,
 vorhofflimmern - flattern rechtstyp periphere niederspannung st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung ,1,
 tachykardes vorhofflimmern lagetyp normal qrs ( t ) abnormal anteroseptaler infarkt wahrscheinlich alt t abnormal in inferioren ableitungen ,1,
 sinusrhythmus lagetyp normal periphere niederspannung qrs ( t ) abnormal anteroseptaler myokardschaden nicht auszuschliessen ,2,
 sinusrhythmus ueberdrehter linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnormal anteroseptaler myokardschaden möglich ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,2,
 ventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter linkstyp linksschenkelblock ,1,
 sinusbradykardie lagetyp normal qrs ( t ) abnormal hochlateraler myokardschaden möglich t abnormal in inferioren ableitungen ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm hochlateraler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt alter unbest t abnorm in anterioren ableitungen hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie av block i ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal mässige amplitudenkriterien für linkshypertrophie unspezifisch abnormes st and t ( hebung ) xxxx unbestätigter bericht ,3,
 sinusrhythmus linkstyp st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung t abnorm in anterioren ableitungen inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 tachykardes vorhofflimmern linkstyp periphere niederspannung qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,1,
 sinusrhythmus linkstyp vorhofsueberbelastung rechts s1 qiii - typ t - veraenderungen v1 ecg pathologisch ,1,
 sinusrhythmus p - verbreiterung ueberdrehter linkstyp linksanteriorer fascicular block unvollständiger rechtsschenkelblock t abnormal in anterioren ableitungen lateralen ableitungen inferolateralen ableitungen ,1,
 sinusrhythmus lagetyp normal t abnorm in anterioren ableitungen lateralen ableitungen inferolateralen ableitungen xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung t abnorm in lateralen ableitungen inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i verdacht auf p - sinistrocardiale ueberdrehter linkstyp periphere niederspannung qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal unspezifische intraventrikuläre leitungsstörung t abnorm in inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i linkstyp linksschenkelblock linkshypertrophie möglich ,1,
 sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung t abnorm in anterioren ableitungen inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus linkstyp rechtsschenkelblock qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal t abnormal in anterioren ableitungen ,2,
 tachykardes vorhofflimmern rechtstyp unspezifischer intraventrikulärer block ,1,
 sinus arrhythmie linkstyp unvollständiger rechtsschenkelblock sonst normales ecg xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern linkstyp qrs ( t ) abnorm inferiorer infarkt alter unbest st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie linkstyp qrs ( t ) abnorm anteroseptaler infarkt möglich xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i ueberdrehter linkstyp qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern linkstyp st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern linkstyp qrs ( t ) abnorm inferiorer infarkt möglich t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinustachykardie linkstyp unspezifische intraventrikuläre leitungsstörung xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt pathologisch ,1,
 sinusrhythmus lagetyp normal periphere niederspannung qrs ( t ) abnormal anterolateraler myokardschaden nicht auszuschliessen ,2,
 supraventrikuläre arrhythmie p - verbreiterung lagetyp normal xxxx unbestätigter bericht ,4,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal periphere niederspannung t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal qt - verlängerung normal ,1,
 supraventrikuläre arrhythmie ueberdrehter linkstyp r - s übergang in v ableitungen nach links verschoben unvollständiger rechtsschenkelblock st and t abnorm wahrscheinlich laterale ischämie oder linksbelastung xxxx unbestätigter b ,1,
 sinusrhythmus av block i p - verbreiterung lagetyp normal unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 mittellagetyp av - tachykardie st - senkung i ii v2 - xxxx verdacht auf digitalisveränderung pathologisches ecg ,1,
 sinusrhythmus p - verbreiterung linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal mässige amplitudenkriterien für linkshypertrophie t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i p - verbreiterung lagetyp normal unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter linkstyp periphere niederspannung qrs ( t ) abnorm anterolateraler infarkt möglich inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal periphere niederspannung qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinustachykardie ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden möglich inferiorer infarkt möglich xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) steillagetyp wahrscheinlich normales ecg ,1,
 sinusrhythmus linkstyp linkshypertrophie möglich qrs ( t ) abnorm inferiorer myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,2,
 sinusrhythmus av block i p - verbreiterung ueberdrehter linkstyp qrs ( t ) abnorm lateraler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp periphere niederspannung linksanteriorer fascicular block qrs ( t ) abnormal anteroseptaler infarkt alter unbest inferiorer infarkt wahrscheinlich alt ,1,
 sinusrhythmus av block i linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt ,2,
 sinustachykardie p - cardiale ueberdrehter linkstyp qrs ( t ) abnorm anteriorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal normales ecg t flach in iii ,1,
 tachykardes vorhofflimmern linkstyp periphere niederspannung qrs ( t ) abnormal anteroseptaler myokardschaden nicht auszuschliessen inferiorer infarkt wahrscheinlich alt st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung ,1,
 sinusrhythmus linkstyp sonst normales ecg xxxx unbestätigter bericht edit norm xxxx sokolow xxxx ( norm xxxx ) ,1,
 sinusrhythmus lagetyp normal unspezifische intraventrikuläre leitungsstörung linkshypertrophie möglich qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal linkshypertrophie möglich qrs ( t ) abnorm lateraler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnorm lateraler infarkt alter unbest inferiorer infarkt möglich xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus linkstyp mässige amplitudenkriterien für linkshypertrophie xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm anterolateraler infarkt möglich inferiorer infarkt alter unbest xxxx unbestätigter bericht ,3,
 sinusrhythmus lagetyp normal partieller rechtsschenkelblock pathologisches ecg ,1,
 sinusrhythmus linkslagetyp uebergangszone verschoben nach rechts normales ecg t - veränderungen neg in iii v1 ,1,
 sinusrhythmus steillagetyp unvollständiger rechtsschenkelblock t - veränderungen i ii iii avr avf v1 - xxxx pathologisches ecg ischämiezeichen inferior und vorderwand ,1,
 sinusrhythmus linkstyp periphere niederspannung unspezifisches abnormales t ,2,
 beschleunigter av - rhythmus ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden möglich inferiorer infarkt möglich st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter be ,1,
 sinusrhythmus lagetyp normal linkshypertrophie möglich qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen qt - verlängerung xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) tachykardes vorhofflimmern lagetyp normal unspezifische abnorme st - senkung unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern lagetyp normal periphere niederspannung t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp r - s übergang in v ableitungen nach links verschoben linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 sinustachykardie linkstyp qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,2,
 sinusrhythmus linkstyp neg t in v1 ,1,
 sinusrhythmus rechtstyp mässige amplitudenkriterien für linkshypertrophie xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus p - sinistrocardiale lagetyp normal linksschenkelblock xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale linkstyp qrs ( t ) abnorm septaler infarkt nicht auszuschliessen t abnorm in hochlateralen ableitungen ,1,
 sinusrhythmus lagetyp normal r - s übergang in v ableitungen nach rechts verschoben qrs ( t ) abnorm inferiorer infarkt alter unbest t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale rechtstyp qrs ( t ) abnorm anteriorer infarkt alter unbest t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,2,
 sinus arrhythmie linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusbradykardie p - sinistrocardiale lagetyp normal t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale rechtstyp qrs ( t ) abnorm anteriorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt mögl akut xxxx unbestätigter bericht edit asmi xxxx lmi xxxx ( asmi xxxx iscal ivcb ) ,1,
 sinus arrhythmie p - verbreiterung ueberdrehter linkstyp periphere niederspannung qrs ( t ) abnormal anteroseptaler infarkt alter unbest inferiorer infarkt wahrscheinlich alt ,1,
 sinusrhythmus p - sinistrocardiale linkstyp unspezifisches abnormes t xxxx unbestätigter bericht ,2,
 llt normokardes vorhofflimmern links - ventrikel - hypertrophie möglich st - senkung in i ii v5 xxxx flache t in iii avl f term neg t in v2 xxxx pathologisches ecg ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus linkstyp st and t abnormal wahrscheinlich laterale ischämie oder linksbelastung ,1,
 sinusrhythmus av block i ueberdrehter linkstyp sichere links - ventrikel - hypertrophie q in iavr avl pathologisches ecg ,1,
 sinustachykardie lagetyp normal st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinustachykardie lagetyp normal linksschenkelblock xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal normales ecg vereinzelt biphasisches p ,1,
 sinustachykardie linkstyp periphere niederspannung linksschenkelblock xxxx unbestätigter bericht ,1,
 sinusbradykardie lagetyp normal linksschenkelblock vollständig st - hebung in v1 xxxx pathologsiches ecg ,1,
 supraventrikuläre extrasystole ( n ) trigeminus linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden möglich st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung ,1,
 interponierte ventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnorm inferiorer myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal periphere niederspannung xxxx unbestätigter bericht ,2,
 sinusrhythmus av block i linkstyp flache t in iii avf v1 verzögere r - progression pathologisches ecg ,1,
 sinusbradykardie linkstyp mässige amplitudenkriterien für linkshypertrophie xxxx unbestätigter bericht ,2,
 sinustachykardie p - sinistrocardiale lagetyp normal st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung t abnorm in anterioren ableitungen xxxx unbestätigter b ,1,
 ventrikuläre extrasystole ( n ) sinustachykardie ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,1,
 sinusrhythmus linkstyp unvollständiger linksschenkelblock xxxx unbestätigter bericht ,2,
 supraventrikuläre arrhythmie lagetyp normal rechtsschenkelblock qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusbradykardie lagetyp normal qrs ( t ) abnormal anteroseptaler infarkt alter unbest st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung laterale ischämie oder linksbelastung t abnormal in inferolateralen ableitungen ,1,
 sinusrhythmus av block i ueberdrehter linkstyp linksanteriorer fascicular block unspezifischer intraventrikulärer block qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal rechtsschenkelblock qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 llt sr normales ecg ,1,
 sinustachykardie linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i p - verbreiterung ueberdrehter linkstyp periphere niederspannung qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus av block i lagetyp normal t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus t abnormal wahrscheinlich anteriorer myokardschaden inferiorer myokardschaden ,1,
 supraventrikuläre arrhythmie lagetyp normal unvollständiger rechtsschenkelblock qrs ( t ) abnorm inferiorer myokardschaden möglich st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter beric ,1,
 sinusbradykardie av block i linkstyp unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnorm anteroseptaler myokardschaden möglich t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp linksschenkelblock path repolarisation pathologisch ,1,
 g ventrikuläre extrasystole ( n ) vorhofflimmern - flattern ueberdrehter linkstyp unspezifischer intraventrikulärer block linkshypertrophie ,1,
 ventrikulär ( a ) extrasystoli ( er ) förmaksflimmer - fladder vänstersidigt skänkelblock ,1,
 sinusrytm p förlängd t - förändring såsom vid inferior myokardaffektion ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusbradykardie p - sinistrocardiale lagetyp normal unspezifische intraventrikuläre leitungsstörung st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus p - sinistrocardiale linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinus arrhythmie verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp qrs ( t ) abnormal anteroseptaler infarkt möglich ,1,
 tachykardes vorhofflimmern linkstyp periphere niederspannung unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteriorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm anteriorer infarkt alter unbest st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,1,
 interponierte ventrikuläre extrasystole ( n ) supraventrikuläre arrhythmie linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt st and t abnormal pathologisch ,1,
 sinus arrhythmie rechtstyp qrs ( t ) abnormal septaler myokardschaden nicht auszuschliessen qt - verlängerung ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block ,1,
 sinusrhythmus av block i linkstyp linksschenkelblock xxxx unbestätigter bericht ,3,
 vorhofflimmern - flattern ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler infarkt alter unbest inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx ,1,
 sinusrhythmus av block i lagetyp normal mässige amplitudenkriterien für linkshypertrophie qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx ,1,
 supraventrikuläre extrasystole ( n ) sinustachykardie av block i lagetyp normal periphere niederspannung t abnormal in hochlateralen ableitungen ,1,
 sinusrhythmus linkstyp periphere niederspannung qrs ( t ) abnorm anterolateraler myokardschaden nicht auszuschliessen t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i p - sinistrocardiale lagetyp normal unspezifische intraventrikuläre leitungsstörung linkshypertrophie xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i linkstyp überdreht periphere niederspannung part lsb lahb chron inferiorer infarkt möglich langsame r - progression v2 - xxxx ,1,
 sinustachykardie ueberdrehter linkstyp linkshypertrophie qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,1,
 tachykardes vorhofflimmern lagetyp normal periphere niederspannung ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale rechtstyp qrs ( t ) abnorm anteriorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie av block i verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block xxxx unbestätigter bericht ,1,
 sinusrhythmus llt sicherer chronischer inderiorer anteroseptaler infarkt pathologisches ecg ,1,
 sinustachykardie linkstyp mässige amplitudenkriterien für linkshypertrophie qrs ( t ) abnorm anteroseptaler myokardschaden möglich inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx ,1,
 supraventr tachykardie ueberdrehter linkstyp vollständiger rechtsschenkelblock t neg in v1 - v3 path ecg ,1,
 sinusrhythmus lagetyp normal intraventr leitungsstörung in avl t biphasisch in v2 normales ecg ,1,
 sinusrhythmus linkstyp vollständiger rechtsschenkelblock t neg in v1 - v3 path ecg ,1,
 ventrikuläre extrasystole ( n ) trigeminus sinus arrhythmie lagetyp normal st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus p - verbreiterung linkstyp unspezifisch abnormes st and t ( hebung ) xxxx unbestätigter bericht ,1,
